L: 28169.6756	130.8276s	[29, 35, 91, 96, 102, 117, 143, 144, 147, 167, 171, 180, 183, 195, 199, 205, 210, 223, 231, 236, 243, 244, 245, 259, 269, 277, 287, 292, 295, 296, 297, 133, 99, 186, 84, 14, 194, 155, 104, 113, 211, 279, 124, 61, 111, 7, 222, 9, 247, 11, 5, 95, 235, 299]
L: 34397.6253	80.3046s	[0, 6, 19, 24, 25, 57, 59, 85, 105, 120, 122, 137, 143, 147, 161, 162, 164, 166, 169, 178, 179, 190, 196, 197, 203, 205, 208, 210, 215, 219, 226, 235, 244, 245, 247, 249, 255, 259, 265, 270, 272, 274, 287, 295, 299, 99, 149, 106, 56, 97, 134, 115, 221, 250, 100, 186, 192, 81, 93, 34]
L: 26834.4478	134.6733s	[14, 23, 32, 46, 54, 74, 83, 88, 95, 110, 117, 131, 149, 156, 172, 198, 203, 207, 211, 216, 238, 244, 249, 251, 259, 262, 265, 269, 273, 275, 276, 286, 287, 294, 298, 85, 65, 38, 39, 271, 15, 208, 204, 50, 168, 178, 11, 219, 133, 288, 10, 18, 34, 45, 91, 190, 161, 261, 217, 127, 270]
L: 33837.2295	126.4992s	[1, 13, 17, 20, 26, 29, 49, 64, 72, 78, 82, 88, 100, 120, 121, 122, 142, 149, 155, 167, 170, 175, 177, 178, 180, 184, 194, 197, 201, 208, 209, 228, 229, 235, 239, 242, 253, 255, 258, 263, 264, 266, 270, 271, 272, 274, 283, 290, 297, 21, 189, 130, 40, 92, 157, 8, 132, 139, 25, 183, 71, 144, 148]
L: -1	0.3008s	[]
L: 12218.4052	65.1763s	[125, 130, 161, 204, 225, 256, 266, 278, 287, 289, 160, 171, 271, 14, 21, 1, 13, 49, 65, 41, 30, 3, 177, 235, 168, 60, 22, 74, 95]
L: 12673.9997	89.1766s	[24, 123, 150, 155, 165, 176, 201, 244, 282, 291, 295, 8, 30, 183, 6, 83, 171, 227, 143, 7, 78, 34, 119, 70, 53, 212, 197, 172]
L: 14719.9429	77.21s	[44, 90, 91, 92, 98, 122, 173, 207, 216, 250, 261, 268, 275, 276, 277, 282, 59, 278, 201, 95, 46, 150, 107, 32, 101, 157, 17, 170, 0, 21, 58]
L: 11353.6142	103.4079s	[27, 87, 93, 134, 160, 190, 228, 267, 282, 8, 39, 3, 171, 275, 149, 71, 164, 189, 109, 281, 51, 151, 82, 225, 13, 45, 21, 212, 217]
L: 13532.8702	98.676s	[17, 22, 48, 153, 180, 231, 246, 264, 269, 290, 295, 222, 57, 86, 214, 73, 115, 187, 25, 97, 15, 47, 80, 32, 34, 210, 158, 197, 147, 66, 166]
L: 9023.4797	50.3487s	[76, 88, 101, 223, 244, 252, 254, 285, 295, 299, 33, 87, 13, 142, 174, 152, 125, 175, 18, 160, 7]
L: 5607.9561	37.3411s	[144, 58, 123, 13, 189, 4, 38, 15, 57, 16, 171, 135, 28, 45, 266, 78, 178]
L: 6431.9074	71.5962s	[255, 281, 294, 80, 147, 124, 15, 10, 8, 138, 296, 38, 139, 236, 132, 85, 220, 290, 57]
L: 7010.4356	60.4659s	[2, 47, 11, 27, 206, 276, 6, 54, 88, 29, 129, 14, 28, 204, 17, 278, 161]
L: 7729.6446	104.3433s	[56, 126, 169, 197, 275, 137, 213, 38, 69, 21, 209, 198, 19, 5, 101, 26, 67, 107, 250, 59, 210]
L: 3550.2851	44.3525s	[282, 49, 160, 78, 20, 93, 253, 167, 90, 158, 174, 35, 46]
L: 4198.9842	47.4614s	[252, 258, 285, 229, 162, 60, 193, 73, 194, 169, 26, 45, 13, 31, 201, 75]
L: 6062.5451	43.6768s	[243, 251, 273, 282, 285, 286, 19, 148, 107, 47, 10, 44, 52, 91, 247]
L: 3674.6337	49.3694s	[248, 22, 76, 16, 108, 146, 218, 138, 95, 28, 171, 92, 271]
L: 3601.9589	38.7716s	[284, 297, 66, 90, 195, 205, 111, 249, 251, 121, 207, 176]
